Populus ciliata
Potentilla argyrophylla
Potentilla indica
Potentilla plurijuga
Pothos chinensis
Pouzolzia rugulosa
Prasiola formosana
Premna barbata
Premna bengalensis
Premna herbacea
Premna mollissima
Primula capitata
Primula denticulata
Primula macrophylla
Primula sikkimensis
Primula wollastonii
Prunella vulgaris
Prunus cornuta
Prunus himalaica
Psammogeton diffusus
Pseudocaryopteris bicolor
Pseudocaryopteris foetida
Pseudocodon convolvulaceus
Pseudocodon grey-wilsonii
Pseudognaphalium adnatum
Pseudognaphalium hypoleucum
Pteris aspericaulis
Pterospermum acerifolium
Pulicaria dysenterica
Pyracantha crenulata
Pyrularia edulis
Pyrus pashia
Quercus glauca
Quercus lanata
Quercus semecarpifolia
Ranunculus brotherusii
Ranunculus distans
Reissantia arborea
Remusatia hookeriana
Remusatia pumila
Remusatia vivipara
Rhaphidophora decursiva
Rheum spiciforme
Rhodiola himalensis
Rhododendron nivale
Rhododendron setosum
Rhynchosia himalensis
Ribes glaciale
Rohdea nepalensis
Rorippa benghalensis
Rorippa indica
Rosa brunonii
Rosa macrophylla
Roscoea alpina
Roscoea capitata
Rostellularia diffusa
Rostellularia procumbens
Rotala rotundifolia
Rotheca serrata
Roylea cinerea
Rubia charifolia
Rubia cordifolia
Rubia wallichiana
Rubus acuminatus
Rubus kumaonensis
Rubus nepalensis
Rubus niveus
Rubus pedunculosus
Rubus rugosus
Rumex acetosa
Rumex patientia
Rungia pectinata
Sagittaria guayanensis
Sagittaria trifolia
Salix sclerophylla
Salix serpyllum
Salomonia cantoniensis
Salvia campanulata
Salvia castanea
Salvia hians
Salvia moorcroftiana
Salvia przewalskii
Salvia roborowskii
Sambucus adnata
Sambucus javanica
Sanicula elata
Sarcococca coriacea
Sarcococca hookeriana
Sarcococca wallichii
Satyrium nepalense
Saurauia fasciculata
Sauromatum diversifolium
Sauromatum venosum
Saussurea graminifolia
Saussurea hookeri
Saxifraga parnassifolia
Schefflera venulosa
Schisandra grandiflora
Schisandra neglecta
Schisandra propinqua
Schizotechium monospermum
Schoenoplectiella juncoides
Scrophularia decomposita
Scrophularia urticifolia
Scurrula elata
Scurrula pulverulenta
Scutellaria repens
Scutellaria scandens
Scutellaria violacea
Sedum multicaule
Selaginella pennata
Selliguea capitellata
Selliguea quasidivaricata
Senecio scandens
Senna alata
Setaria pumila
Shangwua denticulata
Silene conoidea
Silene himalayensis
Silene indica
Silene laxantha
Silene nigrescens
Skimmia anquetilia
Smilax lanceifolia
Smilax ovalifolia
Smilax perfoliata
Smilax wightii
Smilax zeylanica
Smithia ciliata
Smithia conferta
Smithia sensitiva
Solanum anguivi
Solanum pseudocapsicum
Solanum virginianum
Solena amplexicaulis
Solidago virgaurea
Sonchus oleraceus
Sophora mollis
Sophora moorcroftiana
Sopubia trifida
Sorbaria tomentosa
Sorbus ursina
Soroseris hookeriana
Spatholobus parviflorus
Sphaeranthus indicus
Sphaeranthus senegalensis
Sphenoclea zeylanica
Spiranthes sinensis
Spirodela polyrhiza
Spondias pinnata
Stellaria vestita
Stephania elegans
Stephania glandulifera
Stephania rotunda
Sterculia villosa
Streblus asper
Strobilanthes atropurpurea
Strobilanthes hirta
Strobilanthes lachenensis
Strobilanthes wallichii
Sunhangia elegans
Swertia dilatata
Swertia macrosperma
Swertia petiolata
Swertia purpurascens
Swertia racemosa
Symplocos acuminata
Symplocos dryophila
Symplocos pyrifolia
Symplocos ramosissima
Symplocos theifolia
Synotis cappa
Synotis rufinervis
Synotis triligulata
Synotis wallichii
Tagetes minuta
Tamilnadia uliginosa
Taraxacum eriopodum
Taraxacum tibetanum
Tateishia concinna
Taxillus umbellifer
Taxillus vestitus
Taxus mairei
Tectaria coadunata
Tectaria zeilanica
Terminalia catappa
Termitomyces clypeatus
Termitomyces eurrhizus
Tetrastigma serrulatum
Tetrataenium lallii
Tetrataenium nepalense
Tetrataenium wallichii
Teucrium laxum
Teucrium quadrifarium
Teucrium viscidum
Thalictrum alpinum
Thalictrum chelidonii
Thalictrum cultratum
Thalictrum reniforme
Thalictrum virgatum
Thelypteris nudata
Themeda triandra
Thermopsis barbata
Thermopsis inflata
Thunbergia coccinea
Thunbergia grandiflora
Thysanolaena latifolia
Tiarella polyphylla
Tiliacora acuminata
Tinospora cordifolia
Torenia cordifolia
Torilis japonica
Torricellia tiliifolia
Toxicodendron succedaneum
Trametes cinnabarina
Trametes versicolor
Trichosanthes lepiniana
Tridax procumbens
Triglochin maritima
Trigonella emodi
Trillium govanianum
Tripidium bengalense
Triumfetta rhomboidea
Tsuga dumosa
Typhonium trilobatum
Ulmus lanceifolia
Uncaria sessilifructus
Uraria lagopus
Urtica hyperborea
Urtica parviflora
Usnea Orientalis
Uvaria hamiltonii
Vallisneria natans
Vallisneria spiralis
Vanda cristata
Vanda tessellata
Ventilago denticulata
Veronica anagallis-aquatica
Veronica beccabunga
Veronica ciliata
Viburnum cotinifolium
Viburnum cylindricum
Viburnum erubescens
Viburnum mullaha
Vicia sativa
Vicia tetrasperma
Viola canescens
Viola wallichiana
Vitex peduncularis
Vitex trifolia
Vitis flexuosa
Vitis heyneana
Wahlenbergia marginata
Wendlandia puberula
Wikstroemia canescens
Wurfbainia aromatica
Youngia japonica
Zanthoxylum bungeanum
Zephyranthes carinata
Zeuxine strateumatica
Ziziphus nummularia
Ziziphus xylopyrus
